"id","user_id","created_at"
1,8,"2021-08-24"
2,5,"2021-02-23"
3,7,"2020-02-28"
4,9,"2021-04-12"
5,5,"2022-01-19"
6,10,"2020-01-11"
7,10,"2022-01-30"
8,4,"2022-04-08"
9,9,"2022-06-18"
10,5,"2020-11-28"
11,8,"2021-02-07"
12,3,"2021-12-22"
13,10,"2021-01-09"
14,6,"2022-03-11"
15,6,"2022-02-19"
16,6,"2021-04-03"
17,3,"2021-11-26"
18,7,"2020-08-30"
19,9,"2022-08-20"
20,4,"2022-07-02"
21,2,"2022-04-28"
22,9,"2020-12-18"
23,9,"2022-03-05"
24,7,"2020-11-15"
25,1,"2021-11-03"
26,10,"2021-07-13"
27,3,"2021-04-30"
28,7,"2020-08-21"
29,8,"2020-02-10"
30,10,"2020-01-17"
31,7,"2020-02-26"
32,5,"2020-08-16"
33,7,"2020-06-30"
34,8,"2021-02-18"
35,7,"2021-07-11"
36,3,"2022-05-31"
37,8,"2022-03-22"
38,6,"2021-07-20"
39,1,"2020-08-08"
40,5,"2021-02-04"
41,3,"2020-08-22"
42,9,"2020-04-26"
43,6,"2020-03-11"
44,2,"2021-01-16"
45,10,"2020-06-28"
46,3,"2020-07-04"
47,3,"2022-09-07"
48,2,"2020-11-05"
49,9,"2021-01-11"
50,2,"2021-01-27"
51,3,"2022-02-23"
52,3,"2022-01-18"
53,4,"2022-12-30"
54,2,"2021-04-06"
55,6,"2021-07-26"
56,2,"2022-03-19"
57,2,"2022-09-29"
58,6,"2021-03-15"
59,8,"2020-08-28"
60,8,"2021-10-30"
61,5,"2021-04-06"
62,4,"2021-09-06"
63,2,"2022-11-03"
64,4,"2021-07-01"
65,8,"2020-05-22"
66,1,"2022-03-14"
67,9,"2022-02-23"
68,7,"2020-10-22"
69,1,"2022-10-19"
70,9,"2020-12-19"
71,1,"2021-04-20"
72,10,"2021-06-30"
73,8,"2021-03-06"
74,3,"2020-07-01"
75,9,"2022-11-08"
76,5,"2020-12-22"
77,10,"2020-07-07"
78,3,"2020-12-17"
79,10,"2020-03-20"
80,1,"2021-08-13"
81,2,"2020-02-27"
82,10,"2022-11-30"
83,4,"2022-06-25"
84,1,"2022-08-10"
85,3,"2021-11-01"
86,6,"2022-10-25"
87,5,"2020-12-10"
88,8,"2022-10-04"
89,2,"2020-12-30"
90,6,"2022-11-22"
91,3,"2021-11-03"
92,10,"2021-05-17"
93,4,"2020-09-29"
94,10,"2020-07-10"
95,2,"2022-04-10"
96,5,"2022-02-17"
97,1,"2020-11-04"
98,10,"2022-05-11"
99,7,"2020-11-24"
100,1,"2020-02-28"
