ditch|[n]a long, narrow open hole that is dug into the ground
last-ditch|[adj]an effort or attempt that is made at the end of a series of failures to solve a problem, and is not expected to succeed
youthfulness|[n]the quality of being similar to or typical of young people
elite|[n]the richest, most powerful, best-educated, or best-trained group in a society
heads-up|[n]a warning that something is going to happen, usually so that you can prepare for it
heir|[n]a person who will legally receive money, property, or a title from another person, especially an older member of the same family, when that other person dies
heiress|[n]a woman or girl who will receive or already has received a lot of money, property, or a title from another person, especially an older member of the same family, when that person dies
pandemic|[n]existing in almost all of an area or in almost all of a group of people, animals, or plants
epidemic|[n]the appearance of a particular disease in a large number of people at the same time
poverty|[n]the condition of being extremely poor
immense|[adj]extremely large in size or degree
pervasive|[adj]present or noticeable in every part of a thing or place
attention span|[n]the length of time that someone can keep their thoughts and interest fixed on something
